day	hour	value
1	1	6
1	2	5
1	3	3
1	4	4
1	5	5
1	6	5
1	7	4
1	8	4
1	9	4
1	10	4
1	11	6
1	12	7
1	13	6
1	14	7
1	15	9
1	16	7
1	17	8
1	18	7
1	19	7
1	20	8
1	21	7
1	22	8
1	23	8
1	24	7
2	1	6
2	2	4
2	3	7
2	4	6
2	5	5
2	6	5
2	7	5
2	8	6
2	9	7
2	10	6
2	11	7
2	12	8
2	13	7
2	14	7
2	15	7
2	16	8
2	17	10
2	18	9
2	19	9
2	20	8
2	21	7
2	22	7
2	23	7
2	24	7
3	1	8
3	2	6
3	3	6
3	4	7
3	5	5
3	6	5
3	7	5
3	8	4
3	9	5
3	10	6
3	11	8
3	12	8
3	13	9
3	14	9
3	15	8
3	16	10
3	17	8
3	18	8
3	19	9
3	20	9
3	21	9
3	22	7
3	23	7
3	24	6
4	1	6
4	2	6
4	3	5
4	4	5
4	5	6
4	6	6
4	7	4
4	8	4
4	9	6
4	10	6
4	11	7
4	12	9
4	13	8
4	14	9
4	15	10
4	16	9
4	17	9
4	18	9
4	19	9
4	20	9
4	21	8
4	22	7
4	23	8
4	24	7
5	1	7
5	2	6
5	3	6
5	4	6
5	5	5
5	6	5
5	7	5
5	8	4
5	9	5
5	10	5
5	11	7
5	12	7
5	13	9
5	14	10
5	15	8
5	16	8
5	17	10
5	18	9
5	19	8
5	20	9
5	21	8
5	22	8
5	23	9
5	24	7
6	1	7
6	2	7
6	3	6
6	4	5
6	5	3
6	6	4
6	7	4
6	8	3
6	9	4
6	10	2
6	11	4
6	12	9
6	13	8
6	14	9
6	15	8
6	16	5
6	17	8
6	18	7
6	19	7
6	20	7
6	21	6
6	22	7
6	23	8
6	24	6
7	1	6
7	2	6
7	3	6
7	4	4
7	5	1
7	6	3
7	7	3
7	8	1
7	9	1
7	10	1
7	11	2
7	12	6
7	13	9
7	14	10
7	15	8
7	16	8
7	17	7
7	18	6
7	19	7
7	20	7
7	21	6
7	22	8
7	23	8
7	24	6
